"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Alexandria","29.9","31.2","EG","nkn","exact","114","tmcXMEm0200_046a"
"Ancona","13.5","43.633331","IT","nkn","exact","2","tmcXMEm0200_010a"
"Antiochia","36.116669","36.233334","TR","nkn","exact","1","tmcXMEm0200_013a"
"Apollonia","19.466667","40.733334","AL","nkn","exact","127","tmcXMEm0200_015a"
"Aquileia","13.362222","45.769444","IT","nkn","exact","16","tmcXMEm0200_010a"
"Berytus","35.509724","33.871944","LB","nkn","exact","29","tmcXMEm0200_017a"
"Brundisium","17.933332","40.633331","IT","nkn","exact","35","tmcXMEm0200_011a"
"Byzantium","28.966667","41.016666","TR","nkn","exact","71","tmcXMEm0200_013a"
"Caesarea","34.883331","32.5","IL","nkn","exact","64","tmcXMEm0200_021a"
"Carthago","10.333333","36.866669","TN","nkn","exact","133","tmcXMEm0200_028a"
"Corinthus","22.917","37.933","IT","nkn","exact","84","tmcXMEm0200_018a"
"Cyrene","21.867","32.833","LY","nkn","exact","150","tmcXMEm0200_046a"
"Dubris","1.3","51.133331","UK","nkn","exact","49","tmcXMEm0200_032a"
"Dyrrhachium","19.433332","41.316666","AL","nkn","exact","51","tmcXMEm0200_019a"
"Ephesus","27.333332","37.933334","TR","nkn","exact","55","tmcXMEm0200_031a"
"Gades","-6.3","36.533","ES","nkn","exact","37","tmcXMEm0200_036a"
"Gaza","34.466667","31.5","IL","nkn","exact","56","tmcXMEm0200_022a"
"Gesoriacum","1.617","50.717","FR","nkn","exact","34","tmcXMEm0200_033a"
"Massilia","5.4","43.299999","FR","nkn","exact","97","tmcXMEm0200_047a"
"Narbo","3","43.183","FR","nkn","exact","109","tmcXMEm0200_004a"
"Olbia","31.9","46.716667","UA","nkn","exact"," 116","tmcXMEm0200_023a"
"Ostia","12.3","41.75","IT","nkn","exact","118","tmcXMEm0200_004a"
"Panormus","13.383","38.133","IT","nkn","exact","120","tmcXMEm0200_005a"
"Panticapaeum","36.475834","45.358334","UA","nkn","exact","497","tmcXMEm0200_001a"
"Puteoli","14.117","40.817","IT","nkn","exact","128","tmcXMEm0200_006a"
"Rhegium","15.65","38.1","IT","nkn","exact","135","tmcXMEm0200_003a"
"Rhodes","28.217","36.433","GR","nkn","exact","138","tmcXMEm0200_001a"
"Salonae","16.5","43.549999","HR","nkn","exact","153","tmcXMEm0200_012a"
"Sestus","26.4","40.3","TR","nkn","approx","148","tmcXMEm0200_024a"
"Tarraco","1.25","41.117","ES","nkn","exact","160","tmcXMEm0200_007a"
"Thessalonica","22.933","40.633","GR","nkn","exact","167","tmcXMEm0200_002a"
"Tingis","-5.812778","35.784721","MA","nkn","exact","800","tmcXMEm0200_041a"
"Tomi","28.667","44.2","RO","nkn","exact","43","tmcXMEm0200_025a"
"Trapezus","39.716667","41","TR","nkn","exact","168","tmcXMEm0200_008a"
"loc01-tmc010205","3.6","51.7","NL","mouth of R.Rhein","approx","611","tmcXMEm0200_032a"
"loc02-tmc010205","12.483333","38.016666","IT","on Is.Sicily","exact","612","tmcXMEm0200_028a"
