"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Rhodes","GR","Sestus","TR","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","28.217","36.433","TGN7011265","26.4","40.3","OWT est","138","148","P000","tmcXMEm0200_001a"
"Rhodes","GR","Thessalonica","GR","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","28.217","36.433","TGN7011265","22.933","40.633","TGN7011182","138","167","P000","tmcXMEm0200_002a"
"Rhodes","GR","Rhegium","IT","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","28.217","36.433","TGN7011265","15.65","38.1","TGN7004296","138","135","P000","tmcXMEm0200_003a"
"Narbo","FR","Ostia","IT","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","p003d","150","230","QC4","Stone 1989:90-91","3","43.183","TGN","12.3","41.75","TGN","109","118","P000","tmcXMEm0200_004a"
"Ostia","IT","Panormus","IT","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","12.3","41.75","TGN","13.383","38.133","TGN","118","120","P000","tmcXMEm0200_005a"
"Ostia","IT","Puteoli","IT","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","12.3","41.75","TGN","14.117","40.817","TGN7004647","118","128","P000","tmcXMEm0200_006a"
"Ostia","IT","Tarraco","ES","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","12.3","41.75","TGN","1.25","41.117","TGN7008715","118","160","P000","tmcXMEm0200_007a"
"Panticapaeum","UA","Trapezus","TR","nkn","trd","sl","maj","A000","B000","C000","Ostia","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","36.475834","45.358334","ADL4190470","39.716667","41","ADL4106147","497","168","P000","tmcXMEm0200_008a"
"Puteoli","IT","Rhegium","IT","nkn","trd","sl","maj","A000","B000","C000","Rhegium","d000dd","shp","a002d","150","230","QC4","Stone 1989:90-91","14.117","40.817","TGN7004647","15.65","38.1","TGN7004296","128","135","P000","tmcXMEm0200_009a"
"Ancona","IT","Aquileia","IT","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","13.5","43.633331","ADL2496274","13.362222","45.769444","ADL2496453","2","16","P000","tmcXMEm0200_010a"
"Ancona","IT","Brundisium","IT","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","13.5","43.633331","ADL2496274","17.933332","40.633331","ADL2498289","2","35","P000","tmcXMEm0200_011a"
"Ancona","IT","Salonae","HR","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","13.5","43.633331","ADL2496274","16.5","43.549999","ADL2332135","2","153","P000","tmcXMEm0200_012a"
"Alexandria","EG","Rhegium","IT","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","29.9","31.2","TGN","15.65","38.1","TGN7004296","114","135","P000","tmcXMEm0200_013a"
"Antiochia","TR","Rhodes","GR","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","36.116669","36.233334","ADL4067691","28.217","36.433","TGN7011265","1","138","P000","tmcXMEm0200_014a"
"Apollonia","AL","Brundisium","IT","nkn","trd","sl","maj","A000","B000","C000","nkn","d000dd","shp","t000t","150","230","QC4","Stone 1989:90-91","19.466667","40.733334","ADL1085588","17.933332","40.633331","ADL2498289","127","35","P000","tmcXMEm0200_015a"
